Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,98.86693,100,100,,,,,97.27055,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,66.81097,,,100,93.15118,,,,,,,84.24318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.39978,85.9571,85.54859,,,,
Africa Western and Central,AFW,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.35575,,,,,,,,,,,,,
Albania,ALB,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,97.59525,,,,,,97.79186,98.36145,100,98.33455,99.27686,99.4729,99.48293,99.83714,99.11144,97.82632,98.41017,98.47478,,,,
Andorra,AND,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,74.02748,75.78304,78.99763,76.50464,78.72173,72.48135,77.92076,79.22658,80.22055,82.30568,82.91957,81.3281,83.56403,83.43743,83.54155,83.67264,85.28472,84.14482,86.72363,87.13736,87.69872,87.91414,88.05263,88.70915,88.91977,89.12982,90.27082,90.39522,91.00464,91.39523,91.55947,91.0134,90.15964,90.18017,90.02836,89.86345,89.77063,89.4412,88.97717,85.66523,85.73451,87.34003,87.86988,89.40095,90.05728,,,,
United Arab Emirates,ARE,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,100,95.79741,99.55785,98.36066,94.86091,,95.40984,,,97.22372,95.93776,95.51543,97.5683,96.04179,98.15255,98.98197,98.42072,98.95009,95.13201,97.89474,100,99.72629,,98.44756,,,98.95613,99.8874,100,99.50382,97.3446,99.42082,99.74306,99.23809,,,100,100,99.98233,98.70347,99.85934,,,,,,,,
Argentina,ARG,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,33.97587,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.00418,99.96619,100,99.56317,98.97367,100,100,100,100,100,100,100,100,100,100,100,100,100,99.69746,,,,,
