Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7610397,97.15994263,88.69564819,89.80446625,92.29730225,92.81046295,87.88265228,94.53620911,93.35887909,92.27799225,98.43341827,91.78807831,,,92.03778839,100.8185501,,,,,,,
Africa Eastern and Southern,AFE,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,28.54109001,,,29.80508995,32.44923019,,42.98892975,51.70449829,,,24.64221954,25.83275986,,,,,,,,39.90011978,,,,,,,,,,,,,,,,,,,,,,,96.54209137,101.2942123,103.2832565,102.1178436,,
Africa Western and Central,AFW,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.82649994,43.28607941,45.77978897,59.00896835,,,,,,,,,,
Albania,ALB,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.98243713,,,,95.71172333,95.59145355,,93.6255722,92.72421265,,,95.02845001,92.00221252,90.67845917,89.04286957,91.74243164,97.84899139,90.29412842,98.58139801,97.53887939,97.79039001,100.5624237,98.85868073,102.2923965,98.43592072,
Andorra,AND,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,60.73722076,60.66611099,60.15655136,61.8341713,63.3444519,67.00385284,68.53655243,70.89209747,70.63231659,64.90318298,67.00952911,70.6254425,70.71115112,71.50515747,73.8049469,78.09388733,76.47041321,75.88807678,76.00099945,75.95555878,77.06865692,76.64631653,77.20230865,77.17662048,77.76741028,78.48088837,79.22419739,79.79795837,80.50618744,81.01387024,80.23686218,81.0728302,81.48040009,83.97370911,85.63751221,86.95072174,84.64591217,86.43665314,88.81072998,86.30155945,87.78318024,88.18739319,89.75808716,87.37851715,88.40145874,86.98114014,86.49189758,86.18650818,87.06835938,88.18823242,89.02980042,
United Arab Emirates,ARE,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,,,,,44.9590416,42.10956955,53.05109024,59.79021072,64.40882111,68.21434784,68.66522217,73.39659882,85.48387146,83.71547699,78.75791931,75.77812958,74.68536377,74.4392395,73.7917099,82.78530121,93.01180267,99.49719238,96.95796204,93.55058289,91.50743103,89.46542358,85.18551636,87.1599884,84.12355042,81.85436249,78.59526825,74.78601837,81.66857147,,,,,96.31902313,,,,,93.7036972,94.16026306,97.62124634,102.6748734,,,,111.3404465,104.8004227,
Argentina,ARG,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,,,,,,,,,67.81034088,69.02610016,,,,76.62238312,76.26495361,,,,,,,,,,,,,,,,,,,,91.62901306,89.84300995,97.72885132,96.8948822,97.22431183,96.55535126,100.1909714,97.98713684,96.43424988,94.47753143,97.05728912,99.78044891,103.1850433,103.4908524,103.9749374,104.1096115,103.6979294,102.0984268,103.6044617,103.4526901,103.4678116,100.2227936,98.96637726,98.90470123,,
