Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.39302,,100,99.63486,99.07003,,,,,100,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,67.05105,,,88.94977,91.80692,,,,,,,91.71392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.66661,96.42152,94.04482,,,,
Africa Western and Central,AFW,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.77393,,,,,,,,,,,,,
Albania,ALB,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.05708,,,,,96.90948,,,,,,98.9542,98.07733,98.50327,97.8637,99.10345,99.50483,100,99.78225,99.05168,98.28624,97.95866,98.57902,,,,
Andorra,AND,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,72.47993,74.97937,79.46668,75.3964,78.35283,69.98808,77.6101,78.86678,79.69344,82.09867,83.50319,83.33852,86.16274,85.84867,85.89643,86.79007,88.66997,87.06341,89.84901,89.45865,89.52971,89.56664,89.2991,89.44353,89.32885,89.22724,90.42291,90.06226,91.8399,92.22881,92.09406,91.81779,91.09194,91.19009,91.32955,91.25922,91.30435,90.88085,90.49448,87.26139,88.16397,88.19337,88.64357,89.71471,90.41339,,,,
United Arab Emirates,ARE,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,84.68076,99.58264,85.06637,96.02856,93.45902,,93.47351,,,98.2274,98.59707,94.61909,96.98659,97.54011,99.41766,100,99.16157,97.6171,92.94149,96.0513,98.99334,97.76635,,97.65106,,,98.46648,100,98.04543,96.14125,99.54714,99.04643,100,100,,,95.52038,91.77475,98.8909,98.10216,100,,,,,,,,
Argentina,ARG,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,25.22491,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.41275,96.46113,95.43516,95.26872,94.11092,93.48618,91.83626,90.90037,90.08647,90.47356,90.79982,91.91828,92.51746,93.38344,93.82696,94.75433,94.93167,98.99978,100,,,,,
Armenia,ARM,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.21265,98.81746,99.49977,100,98.68379,100,,,,97.71385,,96.82392,100,98.18142,98.15183,97.8051,,,,
American Samoa,ASM,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
Australia,AUS,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.28794,,,,,,,,,,,,99.89683,99.6989,99.87905,99.96101,100,100,100,,,,,
Azerbaijan,AZE,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.05383,,48.77982,100,,97.64329,96.8928,99.43027,99.19159,98.52884,99.06929,99.65454,100,98.77321,100,99.81759,98.3953,99.15753,98.48709,100,98.29169,100,99.7006,95.48102,100,,,,
Burundi,BDI,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,10.40785,14.80508,17.85714,18.15667,18.19656,17.85249,12.94482,12.63639,13.11705,13.47327,14.08394,17.82647,18.3563,11.65386,,17.73863,17.88663,,,,,,,,,,,58.7109,60.11612,,,68.3193,61.27401,75.68155,75.23576,72.30065,78.77966,79.86859,81.87925,88.15592,75.53529,75.50361,,,,
Belgium,BEL,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,93.23102,96.84313,93.13684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,44.43517,65.84826,56.91521,59.7746,42.78636,53.16227,56.60789,60.50437,71.44861,87.46893,,69.77107,54.12002,,,,,,33.92281,,,,,,,,,,,98.43685,,78.05186,,,,,,,,78.99477,,89.77344,84.89555,87.68467,82.5359,,,,,,
Burkina Faso,BFA,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,22.48601,25.85079,28.61837,29.44953,26.00319,30.69827,,31.50139,30.80066,,,,,,,,,,,,,,41.81973,,,,,62.93556,60.56778,62.19793,,61.92542,,67.94847,65.53328,67.58143,74.22284,74.28429,76.08282,,72.85261,69.01551,70.64561,77.24833,78.19348,76.97813,80.78387,,,,
Bangladesh,BGD,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,99.39998,99.60398,98.50018,99.50024,93.36703,99.84342,98.6014,96.42303,95.11968,98.68301,100,98.05831,,98.72592,,99.65849,98.59813,98.93118,98.61659,98.35313,98.43347,97.8375,97.40366,98.3046,99.19524,99.04596,99.28449,99.78383,100,99.47173,98.90545,99.79367,,,,,
Bahrain,BHR,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,87.10191,86.44628,91.46552,,96.9697,,95.0137,,,97.13492,98.20076,98.71717,,,,,,,100,98.5705,98.41401,98.75906,98.57471,98.34636,,,,,,,99.79347,100,99.66881,99.76448,100,99.28571,99.36462,,,,
"Bahamas, The",BHS,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6821,100,100,,99.33287,,,,,,,,,,,,
